NAME,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome,state,county,tract,Borough,GEOID
"Census Tract 351, Bronx County, New York",45.2,43.2,71913.0,17.1,14.1,7.5,36,005,035100,Bronx,36005035100
"Census Tract 367, Bronx County, New York",40.3,61.2,23720.0,49.8,15.4,2.4,36,005,036700,Bronx,36005036700
"Census Tract 381, Bronx County, New York",45.4,65.0,25891.0,34.3,19.5,7.2,36,005,038100,Bronx,36005038100
"Census Tract 388, Bronx County, New York",42.6,45.3,51298.0,20.5,24.5,1.5,36,005,038800,Bronx,36005038800
"Census Tract 397, Bronx County, New York",29.1,36.3,21228.0,51.0,9.2,10.1,36,005,039700,Bronx,36005039700
"Census Tract 399.01, Bronx County, New York",45.5,72.8,22747.0,47.4,18.1,6.2,36,005,039901,Bronx,36005039901
"Census Tract 409, Bronx County, New York",47.4,71.4,46278.0,17.1,13.8,0.0,36,005,040900,Bronx,36005040900
"Census Tract 420, Bronx County, New York",47.2,66.5,28125.0,25.2,10.5,0.6,36,005,042000,Bronx,36005042000
"Census Tract 424, Bronx County, New York",56.4,55.1,57716.0,14.3,10.1,3.2,36,005,042400,Bronx,36005042400
"Census Tract 428, Bronx County, New York",41.7,36.3,63017.0,9.3,7.8,5.5,36,005,042800,Bronx,36005042800
"Census Tract 411, Bronx County, New York",37.6,61.5,41047.0,21.4,14.1,0.0,36,005,041100,Bronx,36005041100
"Census Tract 413, Bronx County, New York",40.8,65.3,38796.0,21.9,13.8,1.8,36,005,041300,Bronx,36005041300
"Census Tract 419, Bronx County, New York",48.8,71.1,45127.0,20.6,11.6,0.5,36,005,041900,Bronx,36005041900
"Census Tract 277, Bronx County, New York",36.5,64.5,33095.0,33.5,14.6,1.7,36,005,027700,Bronx,36005027700
"Census Tract 285, Bronx County, New York",42.1,54.9,54232.0,17.1,5.7,2.9,36,005,028500,Bronx,36005028500
"Census Tract 286, Bronx County, New York",30.6,32.4,61563.0,21.6,9.8,1.9,36,005,028600,Bronx,36005028600
"Census Tract 289, Bronx County, New York",41.9,54.9,47361.0,13.4,11.1,6.0,36,005,028900,Bronx,36005028900
"Census Tract 312, Bronx County, New York",34.5,33.7,62275.0,4.0,10.4,2.9,36,005,031200,Bronx,36005031200
"Census Tract 189, Bronx County, New York",38.7,52.7,21180.0,44.1,16.7,5.3,36,005,018900,Bronx,36005018900
"Census Tract 199, Bronx County, New York",39.2,72.1,24914.0,38.1,13.4,1.6,36,005,019900,Bronx,36005019900
"Census Tract 202, Bronx County, New York",45.7,59.6,38487.0,25.9,7.0,2.5,36,005,020200,Bronx,36005020200
"Census Tract 206.01, Bronx County, New York",51.2,69.3,76429.0,16.1,17.2,3.2,36,005,020601,Bronx,36005020601
"Census Tract 211, Bronx County, New York",38.5,60.5,23724.0,47.7,19.1,4.2,36,005,021100,Bronx,36005021100
"Census Tract 212, Bronx County, New York",40.1,66.1,51443.0,13.7,14.7,1.7,36,005,021200,Bronx,36005021200
"Census Tract 216.01, Bronx County, New York",46.0,69.4,25847.0,42.9,19.0,3.2,36,005,021601,Bronx,36005021601
"Census Tract 256, Bronx County, New York",42.5,49.9,37236.0,27.9,29.1,2.7,36,005,025600,Bronx,36005025600
"Census Tract 227.03, Bronx County, New York",33.4,62.4,45673.0,27.1,7.7,0.0,36,005,022703,Bronx,36005022703
"Census Tract 237.02, Bronx County, New York",46.0,78.2,32500.0,35.1,13.8,2.3,36,005,023702,Bronx,36005023702
"Census Tract 240, Bronx County, New York",41.0,62.1,34705.0,27.9,16.0,2.2,36,005,024000,Bronx,36005024000
"Census Tract 263, Bronx County, New York",45.6,67.3,32663.0,34.4,13.2,9.3,36,005,026300,Bronx,36005026300
"Census Tract 265, Bronx County, New York",43.3,65.3,31147.0,32.3,13.0,6.8,36,005,026500,Bronx,36005026500
"Census Tract 281, Bronx County, New York",48.7,58.1,61886.0,7.6,14.8,3.5,36,005,028100,Bronx,36005028100
"Census Tract 283, Bronx County, New York",38.2,50.6,24759.0,32.5,12.5,2.9,36,005,028300,Bronx,36005028300
